Title;Link;Year;PriceUsd;PriceGrv;Region
MINI Cooper S;https://auto.ria.com/auto_mini_cooper_30219691.html; 2013 ;10 900;300 513;Полтава
MINI Clubman;https://auto.ria.com/auto_mini_clubman_31884951.html; 2010 ;8 700;247 080;Черновцы
MINI Cooper CAUNTRYMAN S;https://auto.ria.com/auto_mini_cooper_31628797.html; 2014 ;14 500;411 800;Киев
MINI One;https://auto.ria.com/auto_mini_one_31683571.html; 2002 ;5 600;157 640;Тернополь
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31454535.html; 2003 ;6 100;168 299;Днепр(Днепропетровск)
MINI Countryman;https://auto.ria.com/auto_mini_countryman_31880849.html; 2013 ;13 200;373 560;КривойРог
MINI Clubman S;https://auto.ria.com/auto_mini_clubman_30840170.html; 2010 ;8 000;220 560 с НДС;Львов
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31205195.html; 2017 ;23 500;652 830;Харьков
MINI Cooper S;https://auto.ria.com/auto_mini_cooper_30434008.html; 2004 ;8 000;220 800;Мариуполь
MINI Clubman;https://auto.ria.com/auto_mini_clubman_31680600.html; 2017 ;17 900;493 861;Одесса
MINI Cooper cooper d;https://auto.ria.com/auto_mini_cooper_28345657.html; 2008 ;7 200;198 648;Львов
MINI Cooper;https://auto.ria.com/auto_mini_cooper_30627318.html; 2012 ;7 300;201 188;Сарны
MINI One;https://auto.ria.com/auto_mini_one_31876538.html; 2001 ;4 450;124 244;Луцк
MINI Cooper;https://auto.ria.com/auto_mini_cooper_29638346.html; 2015 ;12 900;363 135;Львов
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31345230.html; 2003 ;5 800;159 732;Киев
